"source_id","covered_checks","total_checks","coverage_fraction"
"CNRM-ESM2-1",10,10,1
"IPSL-CM6A-LR",10,10,1
"MPI-ESM1-2-HR",10,10,1
"MPI-ESM1-2-LR",10,10,1
"UKESM1-0-LL",10,10,1
