"source_id","experiment_id","variable_id","member_id","id","dataset_id","institution_id","table_id","grid_label","version","title","time_start","time_end","size_bytes","checksum_type","checksum","data_node","http_url","member_sort_key","is_first_available_member"
"CNRM-ESM2-1","historical","siconc","r15i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r15i1p1f2.SImon.siconc.gn.v20250320.siconc_SImon_CNRM-ESM2-1_historical_r15i1p1f2_gn_185001-201412.nc|esg1.umr-cnrm.fr","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r15i1p1f2.SImon.siconc.gn.v20250320|esg1.umr-cnrm.fr","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r15i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,125210402,"SHA256","e0ab07629d58b38b19b9bc932fa27c2497c76b9bbec36d099742743550062347","esg1.umr-cnrm.fr","http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CERFACS/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r15i1p1f2/SImon/siconc/gn/v20250320/siconc_SImon_CNRM-ESM2-1_historical_r15i1p1f2_gn_185001-201412.nc","000000015_000000001_000000001_000000002",FALSE
"CNRM-ESM2-1","historical","siconc","r1i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206.siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc|esgf.nci.org.au","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206|esgf.nci.org.au","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134763410,"SHA256","3f8efd743091909b7a813062922d55fa8152925d675a07473837837dc5374a41","esgf.nci.org.au","https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","000000001_000000001_000000001_000000002",TRUE
"CNRM-ESM2-1","historical","siconc","r1i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206.siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc|esgf.ceda.ac.uk","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206|esgf.ceda.ac.uk","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134763410,"SHA256","3f8efd743091909b7a813062922d55fa8152925d675a07473837837dc5374a41","esgf.ceda.ac.uk","https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","000000001_000000001_000000001_000000002",TRUE
"CNRM-ESM2-1","historical","siconc","r1i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206.siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc|esg1.umr-cnrm.fr","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206|esg1.umr-cnrm.fr","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134763410,"SHA256","3f8efd743091909b7a813062922d55fa8152925d675a07473837837dc5374a41","esg1.umr-cnrm.fr","http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","000000001_000000001_000000001_000000002",TRUE
"CNRM-ESM2-1","historical","siconc","r1i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206.siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc|esgf3.dkrz.de","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.SImon.siconc.gn.v20181206|esgf3.dkrz.de","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134763410,"SHA256","3f8efd743091909b7a813062922d55fa8152925d675a07473837837dc5374a41","esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r1i1p1f2/SImon/siconc/gn/v20181206/siconc_SImon_CNRM-ESM2-1_historical_r1i1p1f2_gn_185001-201412.nc","000000001_000000001_000000001_000000002",TRUE
"CNRM-ESM2-1","historical","siconc","r2i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r2i1p1f2.SImon.siconc.gn.v20190125.siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc|esg1.umr-cnrm.fr","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r2i1p1f2.SImon.siconc.gn.v20190125|esg1.umr-cnrm.fr","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134786457,"SHA256","07f22276b6e964f76b69cd83e696bff0fbff59ea3747e0973b8162b070d4409c","esg1.umr-cnrm.fr","http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r2i1p1f2/SImon/siconc/gn/v20190125/siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc","000000002_000000001_000000001_000000002",FALSE
"CNRM-ESM2-1","historical","siconc","r2i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r2i1p1f2.SImon.siconc.gn.v20190125.siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc|esgf.ceda.ac.uk","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r2i1p1f2.SImon.siconc.gn.v20190125|esgf.ceda.ac.uk","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134786457,"SHA256","07f22276b6e964f76b69cd83e696bff0fbff59ea3747e0973b8162b070d4409c","esgf.ceda.ac.uk","https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r2i1p1f2/SImon/siconc/gn/v20190125/siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc","000000002_000000001_000000001_000000002",FALSE
"CNRM-ESM2-1","historical","siconc","r2i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r2i1p1f2.SImon.siconc.gn.v20190125.siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc|esgf3.dkrz.de","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r2i1p1f2.SImon.siconc.gn.v20190125|esgf3.dkrz.de","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134786457,"SHA256","07f22276b6e964f76b69cd83e696bff0fbff59ea3747e0973b8162b070d4409c","esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r2i1p1f2/SImon/siconc/gn/v20190125/siconc_SImon_CNRM-ESM2-1_historical_r2i1p1f2_gn_185001-201412.nc","000000002_000000001_000000001_000000002",FALSE
"CNRM-ESM2-1","historical","siconc","r3i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r3i1p1f2.SImon.siconc.gn.v20190125.siconc_SImon_CNRM-ESM2-1_historical_r3i1p1f2_gn_185001-201412.nc|esg1.umr-cnrm.fr","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r3i1p1f2.SImon.siconc.gn.v20190125|esg1.umr-cnrm.fr","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r3i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134731495,"SHA256","098c0db79ede9ca21a8b53297c973ec2cba0f532454451497cb3e9b8fcfccca5","esg1.umr-cnrm.fr","http://esg1.umr-cnrm.fr/thredds/fileServer/CMIP6_CNRM/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/SImon/siconc/gn/v20190125/siconc_SImon_CNRM-ESM2-1_historical_r3i1p1f2_gn_185001-201412.nc","000000003_000000001_000000001_000000002",FALSE
"CNRM-ESM2-1","historical","siconc","r3i1p1f2","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r3i1p1f2.SImon.siconc.gn.v20190125.siconc_SImon_CNRM-ESM2-1_historical_r3i1p1f2_gn_185001-201412.nc|esgf.ceda.ac.uk","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r3i1p1f2.SImon.siconc.gn.v20190125|esgf.ceda.ac.uk","CNRM-CERFACS","SImon","gn","1","siconc_SImon_CNRM-ESM2-1_historical_r3i1p1f2_gn_185001-201412.nc",1850-01-01,2014-12-31,134731495,"SHA256","098c0db79ede9ca21a8b53297c973ec2cba0f532454451497cb3e9b8fcfccca5","esgf.ceda.ac.uk","https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/historical/r3i1p1f2/SImon/siconc/gn/v20190125/siconc_SImon_CNRM-ESM2-1_historical_r3i1p1f2_gn_185001-201412.nc","000000003_000000001_000000001_000000002",FALSE
